group,substate,band,coupling_index_mean,coupling_index_sem,t,p,n_rats
positive,phasic,slow_gamma,-0.000272010734453111,4.54116176088646e-05,-5.989893088503701,0.009316814341938817,4
positive,phasic,medium_gamma,-0.0016636495130439904,0.0005191036916360229,-3.2048500903562878,0.04914922295568661,4
positive,phasic,fast_gamma,-0.0015198933118283624,0.0005513103232096609,-2.756874391503737,0.07033604847248116,4
positive,tonic,slow_gamma,-0.0001035593645464401,3.8149376803152275e-05,-2.7145755245439034,0.07288224216028877,4
positive,tonic,medium_gamma,-0.001040151760411198,0.00037520490063958816,-2.772223280234658,0.06943951165487308,4
positive,tonic,fast_gamma,-0.00047215314544797994,0.00015902924674596295,-2.9689705202603927,0.05911689407392398,4
control,phasic,slow_gamma,-0.0003645281944680466,5.5352223604586224e-05,-6.585610671616155,0.007124573675311545,4
control,phasic,medium_gamma,-0.0022538580982949166,0.0007893688036123205,-2.855266243080268,0.06482815471371832,4
control,phasic,fast_gamma,-0.0020843647152052587,0.0006832102462554397,-3.050839366987411,0.055391337467573236,4
control,tonic,slow_gamma,-0.00011594231866600311,2.840532112839312e-05,-4.081711244943842,0.026561089161215416,4
control,tonic,medium_gamma,-0.0010919735160615112,0.0005562472265449265,-1.9631082438724134,0.14441365911919535,4
control,tonic,fast_gamma,-0.0004906790626111275,0.00023121439996618768,-2.1221821075282654,0.1239257541037969,4
