group,substate,band,direction_index_mean,direction_index_sem,t,p,n_rats
positive,phasic,slow_gamma,5.342925417300713e-05,4.705654702610991e-05,1.1354265782264314,0.3387022524044503,4
positive,phasic,medium_gamma,0.0007455502828688065,0.00025715697706348316,2.899203013592573,0.06254275995850053,4
positive,phasic,fast_gamma,0.0004099581141596623,0.00012107599526078918,3.385957003918418,0.042902469958984946,4
positive,tonic,slow_gamma,0.00010176180498889601,4.132505497727786e-05,2.4624723438322986,0.09066816991372484,4
positive,tonic,medium_gamma,0.00023178135023642764,0.00010450014607646246,2.218000251088969,0.11325389584057373,4
positive,tonic,fast_gamma,0.00023375901567227706,7.828989319238408e-05,2.985813444627573,0.05832532271899701,4
control,phasic,slow_gamma,1.735882154775214e-05,2.8012153401975688e-05,0.6196889363931524,0.5793445111799165,4
control,phasic,medium_gamma,0.0005915119403059092,0.0003451883266800987,1.7135919571639788,0.18511882338520835,4
control,phasic,fast_gamma,0.00028377485724781737,6.524676000234442e-05,4.349255920717303,0.022448324447791428,4
control,tonic,slow_gamma,7.777352179788068e-05,3.65771809184337e-05,2.126285291677177,0.12344473798522151,4
control,tonic,medium_gamma,0.00025155341106473017,0.0002029936932785728,1.2392178643674303,0.30337659296674735,4
control,tonic,fast_gamma,0.00012316014753740092,6.0156472450488336e-05,2.0473299467279706,0.1331050777414005,4
