substate,direction,band,pos_mean,pos_std,ctl_mean,ctl_std,diff,t,p,n_pos,n_ctl
phasic,hpc_theta_to_pfc_gamma,slow_gamma,3.645657533564627e-05,2.9907731301814414e-05,3.898012451975998e-05,1.6119672943339896e-05,-2.5235491841137084e-06,-0.14855229476389695,0.8881870404250608,4,4
phasic,hpc_theta_to_pfc_gamma,medium_gamma,5.627201638637096e-05,4.0175685353967284e-05,3.7860038923466494e-05,2.6163107934844517e-05,1.8411977462904464e-05,0.7680673507593158,0.47613041134360734,4,4
phasic,hpc_theta_to_pfc_gamma,fast_gamma,6.525204527937982e-05,3.221791372125505e-05,6.841840260986544e-05,6.110458918499658e-05,-3.166357330485625e-06,-0.09167489182999446,0.9308550008489377,4,4
phasic,hpc_theta_to_hpc_gamma,slow_gamma,0.00030846730978875724,0.00010160902252525631,0.00040350831898780656,0.00011578230974588032,-9.504100919904932e-05,-1.233936312646995,0.26410444438265646,4,4
phasic,hpc_theta_to_hpc_gamma,medium_gamma,0.0017199215294303617,0.0010525063275249112,0.0022917181372183832,0.0015611090523505876,-0.0005717966077880216,-0.6073986189142856,0.5688533502096611,4,4
phasic,hpc_theta_to_hpc_gamma,fast_gamma,0.0015851453571077423,0.0011269217917497338,0.002152783117815124,0.0013643911581830643,-0.0005676377607073818,-0.6415403241614626,0.5456992647459991,4,4
tonic,hpc_theta_to_pfc_gamma,slow_gamma,1.0615675818770894e-05,1.3425745407558328e-05,3.347578077344695e-06,3.022790359746418e-06,7.268097741426199e-06,1.0562692552663617,0.36189198184400473,4,4
tonic,hpc_theta_to_pfc_gamma,medium_gamma,7.251583198444514e-05,7.359842441090237e-05,1.6822910415021037e-05,1.822316586316313e-05,5.569292156942411e-05,1.4690647873726776,0.22853039023900792,4,4
tonic,hpc_theta_to_pfc_gamma,fast_gamma,9.000269366209739e-05,4.34460966077622e-05,4.6641222172877056e-05,7.485036566218288e-05,4.3361471489220334e-05,1.002049149626507,0.36398025894065306,4,4
tonic,hpc_theta_to_hpc_gamma,slow_gamma,0.00011417504036521098,6.999432093086837e-05,0.00011928989674334781,5.9075516784487544e-05,-5.114856378136826e-06,-0.1116876603132376,0.9148134250430291,4,4
tonic,hpc_theta_to_hpc_gamma,medium_gamma,0.0011126675923956433,0.000738204151576394,0.0011087964264765323,0.001107872172222231,3.871165919111042e-06,0.005815672773810054,0.9955753353586845,4,4
tonic,hpc_theta_to_hpc_gamma,fast_gamma,0.0005621558391100774,0.00035497399770222126,0.0005373202847840046,0.00044901714300239857,2.4835554326072744e-05,0.08677941257999387,0.9338161856640523,4,4
